,t,T,u
161,161.0,26.403093592616703,5.0
162,162.0,26.362523939397917,5.0
163,163.0,25.620785480451076,5.0
164,164.0,26.3339151894364,5.0
165,165.0,25.966193549342794,5.0
166,166.0,26.2094627399153,5.0
167,167.0,26.179902287636892,5.0
168,168.0,26.353788978867204,5.0
169,169.0,26.522851070600037,5.0
170,170.0,25.832194528462896,5.0
171,171.0,26.13214107976999,5.0
172,172.0,26.060980372774875,5.0
173,173.0,26.447687611050803,5.0
174,174.0,26.3157035280417,5.0
175,175.0,25.66364627687282,5.0
176,176.0,26.251176195216487,5.0
177,177.0,26.421684602345927,5.0
178,178.0,25.823430168029866,5.0
179,179.0,26.110332921078072,5.0
180,180.0,26.088096507588673,5.0
181,181.0,26.421893376537703,5.0
182,182.0,26.04420636904193,5.0
183,183.0,25.85572736406501,5.0
184,184.0,26.033663571603473,5.0
185,185.0,26.588689078674257,5.0
186,186.0,25.697124609723655,5.0
187,187.0,26.18107331948275,5.0
188,188.0,26.006639777077563,5.0
189,189.0,26.10740319394463,5.0
190,190.0,26.320603060304407,5.0
191,191.0,25.80265660583314,5.0
192,192.0,26.209981472949643,5.0
193,193.0,26.424189725552164,5.0
194,194.0,25.91355122141407,5.0
195,195.0,25.807734012514207,5.0
196,196.0,25.901342601209432,5.0
197,197.0,25.727958662318542,5.0
198,198.0,26.475534901528025,5.0
199,199.0,25.777653390874985,5.0
200,200.0,25.629237203528223,5.0
201,201.0,26.383707054532128,5.0
202,202.0,26.46710293786964,5.0
203,203.0,25.8476375388812,5.0
204,204.0,25.820862666319584,5.0
205,205.0,26.14644010395986,5.0
206,206.0,26.181743793104637,5.0
207,207.0,25.69397407856521,5.0
208,208.0,26.39049239219246,5.0
209,209.0,25.628472454573288,5.0
210,210.0,26.008283168085686,5.0
211,211.0,25.663084831031025,5.0
212,212.0,26.203919657541952,5.0
213,213.0,26.484474297483622,5.0
214,214.0,25.647137499404746,5.0
215,215.0,26.16137245192476,5.0
216,216.0,25.987492042718262,5.0
217,217.0,25.73505599812024,5.0
218,218.0,25.943730346475533,5.0
219,219.0,25.92731831033796,5.0
220,220.0,26.380724983990127,0.0
221,221.0,25.605313340970266,0.0
222,222.0,25.848654747616845,0.0
223,223.0,25.566443487230988,0.0
224,224.0,25.864663263479915,0.0
225,225.0,25.999782024422906,0.0
226,226.0,25.5450159269238,0.0
227,227.0,26.113997199611024,0.0
228,228.0,25.93038629291297,0.0
229,229.0,25.80150236678559,0.0
230,230.0,25.227752340276012,0.0
231,231.0,26.025341757900254,0.0
232,232.0,25.396460732761422,0.0
233,233.0,25.98014248351596,0.0
234,234.0,25.741265314840973,0.0
235,235.0,25.856740190852637,0.0
236,236.0,25.40573310033203,0.0
237,237.0,25.309952911109043,0.0
238,238.0,25.6089332942374,0.0
239,239.0,25.248912662788015,0.0
240,240.0,25.681851633794814,0.0
241,241.0,25.463184645893225,0.0
242,242.0,24.68614661854961,0.0
243,243.0,25.037187065988903,0.0
244,244.0,24.863028952272316,0.0
245,245.0,24.54820040130536,0.0
246,246.0,24.80921483628601,0.0
247,247.0,24.962321313783946,0.0
248,248.0,25.327424081292737,0.0
249,249.0,24.562112950777824,0.0
250,250.0,24.97533323889008,0.0
251,251.0,24.851011522544113,0.0
252,252.0,24.902440076866874,0.0
253,253.0,24.365597014401263,0.0
254,254.0,24.687907124391195,0.0
255,255.0,24.532799126987495,0.0
256,256.0,24.845441316490575,0.0
257,257.0,25.109410454810366,0.0
258,258.0,24.863037062782368,0.0
259,259.0,24.825628086487676,0.0
260,260.0,24.45638872884531,0.0
261,261.0,24.998121509045188,0.0
262,262.0,24.95835003195975,0.0
263,263.0,24.944919319529422,0.0
264,264.0,24.33756516869774,0.0
265,265.0,24.683797758574933,0.0
266,266.0,24.83959544009167,0.0
267,267.0,24.585240929788586,0.0
268,268.0,24.029324342435267,0.0
269,269.0,24.613027984280457,0.0
270,270.0,24.755443810733873,0.0
271,271.0,23.821438057118407,0.0
272,272.0,24.12145613446582,0.0
273,273.0,24.34317019674898,0.0
274,274.0,24.099212582291717,0.0
275,275.0,23.869605886393526,0.0
276,276.0,24.33209578505261,0.0
277,277.0,23.821133993477122,0.0
278,278.0,24.33223353826658,0.0
279,279.0,23.845196349300043,0.0
280,280.0,24.405438710768678,0.0
281,281.0,24.23238800262112,0.0
282,282.0,23.63593014752034,0.0
283,283.0,23.57161526057435,0.0
284,284.0,23.45186370264791,0.0
285,285.0,24.127834341903082,0.0
286,286.0,23.82559833869429,0.0
287,287.0,23.606661979875753,0.0
288,288.0,24.004819632724214,0.0
289,289.0,24.24179322075821,0.0
290,290.0,23.627887350099357,0.0
291,291.0,24.039921319235233,0.0
292,292.0,23.67855219500731,0.0
293,293.0,23.815625414026368,0.0
294,294.0,23.784073893880674,0.0
295,295.0,23.66809251054675,0.0
296,296.0,23.70999420852545,0.0
297,297.0,24.140998638980538,0.0
298,298.0,23.5770598974478,0.0
299,299.0,23.918651617945176,0.0
300,300.0,23.764333123292936,0.0
301,301.0,23.698286747732443,0.0
302,302.0,23.426835424928402,0.0
