,Th1,Ts1,u1,R
125,26.11982311947713,26.11982311947713,71.734,-1.4482615262152763
126,26.375635596251474,26.375635596251474,66.953,-1.556515757458456
127,26.485111985706332,26.485111985706332,65.11,-1.441970919105195
128,26.5811407057487,26.5811407057487,63.426,-1.4527327919072306
129,26.6631251796931,26.6631251796931,61.282,-1.5225871539057074
130,26.73068823158024,26.73068823158024,58.744,-1.3942955972915279
131,26.78367208617702,26.78367208617702,56.207,-1.324595528405382
132,26.822138368976532,26.822138368976532,54.314,-1.3782001677377558
133,26.846540018479928,26.846540018479928,52.588,-1.298533088421756
134,26.856861724787027,26.856861724787027,50.558,-1.3380555237688831
135,26.85433905241513,26.85433905241513,48.278,-1.308611752197507
136,26.8397393174802,26.8397393174802,45.999,-1.2720837123044006
137,26.814221149106256,26.814221149106256,44.366,-1.2920636953289524
138,26.779162577143524,26.779162577143524,42.919,-1.3681198066603315
139,26.73569686822392,26.73569686822392,41.287,-1.2450788039434677
140,26.686517837462347,26.686517837462347,39.622,-1.368803635292835
141,26.633815749117577,26.633815749117577,37.974,-1.159063176634021
142,26.57863921629282,26.57863921629282,36.839,-1.2636781248310172
143,26.519870680680484,26.519870680680484,35.858,-1.1347820590270317
144,26.456741742350196,26.456741742350196,34.857,-1.1263441163343195
145,26.389963820948978,26.389963820948978,33.926,-1.2076461861468069
146,26.32021691246807,26.32021691246807,32.996,-1.2819689675971269
147,26.24741931235347,26.24741931235347,32.405,-1.0922353083775356
148,26.17437899995328,26.17437899995328,31.923,-1.0887935106352948
149,26.099490869623,26.099490869623,31.512,-1.1438507191819092
150,26.024039499620248,26.024039499620248,31.231,-1.19303953328388
151,25.947794335659335,25.947794335659335,30.947,-1.2040433311055168
152,25.87350712779099,25.87350712779099,30.826,-1.113909779197126
153,25.79937761042189,25.79937761042189,30.749,-0.9851371358767622
154,25.726587822295112,25.726587822295112,30.792,-1.0135879478484746
155,25.58658474246982,25.58658474246982,31.166,-1.0572386945305574
156,25.520071545982496,25.520071545982496,31.362,-1.0729750320188813
157,25.455675317881887,25.455675317881887,31.564,-1.021110150843871
158,25.394944827966295,25.394944827966295,31.892,-0.8366711859924685
159,25.338026004717737,25.338026004717737,32.343,-0.809021322253443
160,25.283975723063165,25.283975723063165,32.798,-0.8445292965029125
161,25.233562773003307,25.233562773003307,33.166,-0.8113872929754855
162,25.186932948381216,25.186932948381216,33.508,-0.776855776361689
163,25.144200619384176,25.144200619384176,33.961,-0.7721940210907512
164,25.105231903639368,25.105231903639368,34.512,-0.7659409964889576
165,25.0695435537744,25.0695435537744,35.062,-0.7588360269731105
166,25.03702712964238,25.03702712964238,35.478,-0.750937674013457
167,25.007585548732937,25.007585548732937,35.855,-0.7422874918296145
168,24.98111868472993,24.98111868472993,36.315,-0.7329317641662527
169,24.95752336751145,24.95752336751145,36.837,-0.7229215042930761
170,24.936693383149827,24.936693383149827,37.358,-0.7123124550048452
171,24.918519473911633,24.918519473911633,37.738,-0.701165088621373
172,24.90288933825767,24.90288933825767,38.076,-0.6895446069875071
173,24.889687630842975,24.889687630842975,38.466,-0.6775209414731513
174,24.87879596251682,24.87879596251682,38.887,-0.6331687529732513
175,24.870016503543546,24.870016503543546,39.312,-0.6524404412369407
176,24.8634539674984,24.8634539674984,39.604,-0.6078010982218416
177,24.858713960894466,24.858713960894466,39.867,-0.594830104457138
178,24.855835072095406,24.855835072095406,40.153,-0.6140056862001941
179,24.85463152053524,24.85463152053524,40.441,-0.6014241637670352
180,24.854943461452287,24.854943461452287,40.733,-0.5889335695503988
181,24.85665149084139,24.85665149084139,40.931,-0.5767695053141715
182,24.859648321590967,24.859648321590967,41.104,-0.5649298275444856
183,24.863681812842653,24.863681812842653,41.278,-0.5538756846892703
184,24.86870949484384,24.86870949484384,41.444,-0.5113851110663923
185,24.874544044095146,24.874544044095146,41.611,-0.5336994329554869
186,24.881030545776667,24.881030545776667,41.718,-0.5249500655520798
187,24.888011041262743,24.888011041262743,41.807,-0.4852731535767312
188,24.895398792095467,24.895398792095467,41.889,-0.44675155145664647
189,24.902883923918612,24.902883923918612,41.953,-0.40965234229775405
190,24.91043120995761,24.91043120995761,42.017,-0.37248847186132394
191,24.91817563901017,24.91817563901017,42.051,-0.3368319228982415
192,24.925969203755017,24.925969203755017,42.077,-0.23669959358892712
193,24.93374446525709,24.93374446525709,42.088,-0.23406362125792413
194,24.94143918039397,24.94143918039397,42.081,-0.16789629614491375
195,24.94899630185589,24.94899630185589,42.073,-0.23017006140471352
196,24.95636397814572,24.95636397814572,42.059,-0.16485751310728602
197,24.963495553578976,24.963495553578976,42.043,-0.16393140023773967
198,24.97034956828382,24.97034956828382,42.01,-0.26036462469632227
199,24.976889758201057,24.976889758201057,41.961,-0.2601302412984232
200,24.983085055084135,24.983085055084135,41.912,-0.16320145777457995
201,24.98890958649915,24.98890958649915,41.871,-0.16355163477047086
202,24.994342675824843,24.994342675824843,41.832,-0.16415428584691227
203,24.999368842252586,24.999368842252586,41.779,-0.16498307747987084
204,25.003977800786416,25.003977800786416,41.714,-0.16601182906044443
205,25.008164462243002,25.008164462243002,41.648,-0.16721451289488698
206,25.011928933251657,25.011928933251657,41.598,-0.16856525420458723
207,25.01527651625434,25.01527651625434,41.553,-0.17003833112607936
208,25.018245117919744,25.018245117919744,41.496,-0.17162427569533278
209,25.020791805365175,25.020791805365175,41.431,-0.17326605558329788
210,25.02294889883583,25.02294889883583,41.368,-0.1429366506537626
211,25.02478587048711,25.02478587048711,41.321,-0.17664490969060154
212,25.026310403531888,25.026310403531888,41.279,-0.14634918874903136
213,25.027558975287985,25.027558975287985,41.23,0.012975316543549553
214,25.028573258885864,25.028573258885864,41.177,0.10835325764460535
215,25.029398721789256,25.029398721789256,41.125,0.10684302694885517
216,25.030060605363992,25.030060605363992,41.087,0.13767164792339415
217,25.03056591296944,25.03056591296944,41.055,0.13683598070833725
218,25.030921309799933,25.030921309799933,41.019,0.13628869050438652
219,25.031133471424997,25.031133471424997,40.982,0.13598489524003554
220,25.031209172987552,25.031209172987552,40.945,0.13588201634130925
221,25.031154843212974,25.031154843212974,40.92,0.13594052488305053
222,25.030977456390954,25.030977456390954,40.898,0.1361224492863471
223,25.030683640393647,25.030683640393647,40.876,0.13639286762110814
224,25.030275556284312,25.030275556284312,40.855,0.1367226024447632
225,25.029773641030523,25.029773641030523,40.834,0.17007116508258235
226,25.02917094368139,25.02917094368139,40.821,0.17042116552755004
227,25.028471438780894,25.028471438780894,40.809,0.29874691300708633
228,25.027703946503692,25.027703946503692,40.799,0.2670165686000061
229,25.026844327051855,25.026844327051855,40.791,0.29922041304000757
230,25.025923799445202,25.025923799445202,40.783,0.4613333601548888
231,25.02495113436179,25.02495113436179,40.779,0.39634285676089576
232,25.023902801626146,25.023902801626146,40.775,0.4612345245277538
233,25.02282704952303,25.02282704952303,40.774,0.46100226229264507
234,25.02168733588146,25.02168733588146,40.775,0.4606284988439775
235,25.02052376227477,25.02052376227477,40.776,0.3631166561172705
236,25.019344127347747,25.019344127347747,40.778,0.4264678403559543
237,25.018131405394715,25.018131405394715,40.78,0.45866822945715313
238,25.016904255345647,25.016904255345647,40.784,0.45772537241940725
239,25.01566956027411,25.01566956027411,40.79,0.4566434417270173
240,25.014434213628867,25.014434213628867,40.797,0.45542906259206717
241,25.013205119233884,25.013205119233884,40.802,0.45409131295443217
242,25.011977121920054,25.011977121920054,40.807,0.45262670805474414
243,25.01079335436658,25.01079335436658,40.813,0.451094277569549
244,25.009624543418198,25.009624543418198,40.822,0.4494654113410057
245,25.00848970376796,25.00848970376796,40.83,0.44777401364717306
246,25.007395791115847,25.007395791115847,40.836,0.4460414260668806
247,25.006349771537028,25.006349771537028,40.842,0.4442914429067457
248,25.005358621481882,25.005358621481882,40.849,0.4425503112011704
249,25.004420370879842,25.004420370879842,40.857,0.440829987891604
250,25.003568887620144,25.003568887620144,40.865,0.43921185393027784
251,25.002784308590314,25.002784308590314,40.87,0.40467928607272086
252,25.00208260863769,25.00208260863769,40.875,0.43628508508525243
253,25.00147081608866,25.00147081608866,40.881,0.43506776164122485
254,25.000955969644806,25.000955969644806,40.887,0.4660682791417834
255,25.000541558922944,25.000541558922944,40.894,0.43332414395315766
256,25.000245321755006,25.000245321755006,40.898,0.43289895422021374
257,25.000063649588242,25.000063649588242,40.902,0.43282330223932775
258,25.00000718208503,25.00000718208503,40.906,0.4331538720855157
259,25.000084460208697,25.000084460208697,40.91,0.43395429754133374
260,25.00026187212012,25.00026187212012,40.914,0.4990963345284172
261,25.000457188066544,25.000457188066544,40.917,0.4682630476730836
262,25.000662450439446,25.000662450439446,40.919,0.40442087447765473
263,25.000877375765363,25.000877375765363,40.922,0.43857457695707325
264,25.001093207052307,25.001093207052307,40.924,0.5036840432211456
265,25.001314290973532,25.001314290973532,40.926,0.47277753385156984
266,25.001536500683784,25.001536500683784,40.927,0.5058384355248968
267,25.001758024411163,25.001758024411163,40.929,0.5388618842010366
268,25.00197720773876,25.00197720773876,40.93,0.5728434404855882
269,25.002192553604644,25.002192553604644,40.931,0.508779089629801
270,25.00240272230188,25.00240272230188,40.931,0.5746652415305924
271,25.002606531478516,25.002606531478516,40.932,0.5424987307305607
272,25.002802956137582,25.002802956137582,40.932,0.6722768164179662
273,25.002992966153663,25.002992966153663,40.933,0.5770040878468663
274,25.00317033869008,25.00317033869008,40.933,0.609657937236431
275,25.003340033364506,25.003340033364506,40.933,0.5782576139723474
276,25.003499817083362,25.003499817083362,40.933,0.6107951704054138
277,25.003649451624614,25.003649451624614,40.934,0.6112699889522126
278,25.00378885612121,25.00378885612121,40.934,0.7076818766750073
279,25.00391810706109,25.00391810706109,40.935,0.6440310652817409
280,25.00403858269673,25.00403858269673,40.935,0.6443207725704525
281,25.00414724099738,25.00414724099738,40.936,0.6765443952070704
282,25.004249028879922,25.004249028879922,40.936,0.7737124963716262
283,25.00434061243671,25.00434061243671,40.937,0.773820325304996
284,25.004426567612573,25.004426567612573,40.939,0.7738746272972818
285,25.004504498062087,25.004504498062087,40.94,0.7738759964830209
286,25.004578747005976,25.004578747005976,40.942,0.7738277373919011
287,25.004647692236293,25.004647692236293,40.943,0.7737353439793111
288,25.00471563285121,25.00471563285121,40.945,0.7415991930306589
289,25.004781507001905,25.004781507001905,40.948,0.773429097362726
290,25.004849808619124,25.004849808619124,40.951,0.6762231549193984
291,25.004919772081262,25.004919772081262,40.953,0.7729947805328017
292,25.004995583704893,25.004995583704893,40.956,0.7727431798312381
293,25.005078834876496,25.005078834876496,40.959,0.7724767117197615
294,25.005171962408795,25.005171962408795,40.963,0.7722019775913118
295,25.005277560469516,25.005277560469516,40.967,0.7719260034845092
296,25.005398380581354,25.005398380581354,40.971,0.7716562400836331
297,25.00553733162201,25.00553733162201,40.974,0.7714005627186324
298,25.005699199127076,25.005699199127076,40.978,0.7711650806650994
299,25.005882048775444,25.005882048775444,40.983,0.7709650906444026
300,25.006096695363574,25.006096695363574,40.988,0.7708017859654213
301,25.00634073779682,25.00634073779682,40.991,0.7706902470799548
302,25.006616876325673,25.006616876325673,40.995,0.7706388281767751
303,25.006934511249934,25.006934511249934,40.998,0.7706568291133742
304,25.007778903315806,25.007778903315806,41.007,0.8027879735833281
305,25.00843295358601,25.00843295358601,41.01,0.7706319996703357
306,25.010131813482374,25.010131813482374,41.015,0.7698438715681206
307,25.012164541424728,25.012164541424728,41.018,0.7685602493666615
308,25.013251615354477,25.013251615354477,41.019,0.7677738491600188
309,25.01433546675747,25.01433546675747,41.019,0.7989288390901272
310,25.0154041794557,25.0154041794557,41.018,0.766035427986445
311,25.016426407026714,25.016426407026714,41.015,0.7651197961424572
312,25.017412400669073,25.017412400669073,41.012,0.7641699361909069
313,25.018313247748303,25.018313247748303,41.008,0.763229180984272
314,25.01912163325095,25.01912163325095,41.005,0.7623026757143059
315,25.019815047854507,25.019815047854507,40.998,0.7614129455838423
316,25.020397920088076,25.020397920088076,40.987,0.7605465243608656
317,25.02083382719307,25.02083382719307,40.977,0.7597497362018153
318,25.02125797945684,25.02125797945684,40.958,0.7903432170900508
319,25.021005165665382,25.021005165665382,40.923,0.8212752678317479
320,25.019218569787498,25.019218569787498,40.87,0.853455721479321
321,25.015671867611054,25.015671867611054,40.786,0.788735272959471
322,25.012282739140126,25.012282739140126,40.738,0.7895975991883013
323,25.0081529456914,25.0081529456914,40.669,0.7910101651867407
324,25.003267780281035,25.003267780281035,40.599,0.9219973546424214
325,24.997679198937476,24.997679198937476,40.535,0.9885625428667595
326,24.988260240769396,24.988260240769396,40.419,1.0264085527919917
327,24.98145821732609,24.98145821732609,40.357,1.0622473377847257
